param_name,param_value,pct_change,oos_sharpe,win_rate,n_folds_passed,total_pnl,max_dd,avg_trades_per_fold
BASELINE,0.0,0.0,3.95703441576265,0.5784797216144852,9,93.07167281446345,4.655789693341362,46.666666666666664
signal_threshold,0.24,-20.0,3.8692,0.5796,9,113.6157,4.8665,52.9
signal_threshold,0.27,-10.0,3.4256,0.577,9,101.5299,4.5197,49.6
signal_threshold,0.3,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
signal_threshold,0.33,10.0,3.957,0.5785,9,93.0717,4.6558,46.7
signal_threshold,0.36,20.0,2.9763,0.5735,7,64.838,5.2415,38.3
take_profit_atr,2.4,-20.0,4.3235,0.5875,9,106.4264,4.7245,48.1
take_profit_atr,2.7,-10.0,4.0423,0.5809,9,87.0968,4.7648,46.8
take_profit_atr,3.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
take_profit_atr,3.3,10.0,4.189,0.5798,9,96.3297,4.6558,46.3
take_profit_atr,3.6,20.0,4.2284,0.5829,9,104.864,4.6033,46.1
stop_loss_atr,1.2,-20.0,4.041,0.5716,9,95.5702,4.6997,48.6
stop_loss_atr,1.35,-10.0,4.0163,0.5716,9,92.9241,4.6187,47.6
stop_loss_atr,1.5,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
stop_loss_atr,1.65,10.0,4.28,0.5971,9,98.7203,4.6703,45.2
stop_loss_atr,1.8,20.0,3.9068,0.6019,9,96.8171,4.5835,44.6
max_hold_hours,28.8,-20.0,3.957,0.5785,9,93.0717,4.6558,46.7
max_hold_hours,32.4,-10.0,3.957,0.5785,9,93.0717,4.6558,46.7
max_hold_hours,36.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
max_hold_hours,39.6,10.0,3.957,0.5785,9,93.0717,4.6558,46.7
max_hold_hours,43.2,20.0,3.957,0.5785,9,93.0717,4.6558,46.7
time_decay_hours,9.6,-20.0,3.957,0.5785,9,92.3249,4.7061,46.7
time_decay_hours,10.8,-10.0,3.957,0.5785,9,92.2558,4.7138,46.7
time_decay_hours,12.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
time_decay_hours,13.2,10.0,3.957,0.5805,9,93.9676,4.6558,46.6
time_decay_hours,14.4,20.0,3.957,0.5805,9,93.9676,4.6558,46.6
trailing_stop_atr,0.4,-20.0,4.0071,0.5993,9,106.9519,4.5489,47.4
trailing_stop_atr,0.45,-10.0,3.6525,0.5854,9,99.3166,4.6066,47.1
trailing_stop_atr,0.5,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
trailing_stop_atr,0.55,10.0,3.9343,0.5653,9,96.7315,4.5755,46.0
trailing_stop_atr,0.6,20.0,3.6107,0.5542,9,90.9966,4.7001,45.6
score_flip_delay_hrs,0.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
score_flip_delay_hrs,0.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
score_flip_delay_hrs,0.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
score_flip_delay_hrs,0.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
score_flip_delay_hrs,0.0,0.0,3.957,0.5785,9,93.0717,4.6558,46.7
